Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,is_first,Dispatch Status,Dispatched Date,Delivery Status,Delivery Date
BRU00002153,Toothbrush 4000,2022-06-19 01:21:11.389787200,17,9,HG1%202PY,FY5 4PR,1,Dispatched,2022-06-19 09:04:08.505965200,Delivered,2022-06-20 13:13:11.305382800
BRU00004624,Toothbrush 2000,2021-05-01 15:52:00.636766400,72,2,B79%207TJ,GY8 0HB,1,Dispatched,2021-05-01 22:35:02.814850400,Delivered,2021-05-03 02:30:24.051788000
BRU00003926,Toothbrush 2000,2021-12-09 23:10:09.552139199,78,1,G33%204QE,HU16 4QA,1,Dispatched,2021-12-10 05:45:58.863515998,Delivered,2021-12-11 14:26:16.946885998
BRU00003200,Toothbrush 2000,2022-10-06 19:46:32.845275200,59,7,GY7%209LT,CA10 3EF,1,Dispatched,2022-10-07 01:58:58.992406400,Delivered,2022-10-08 09:03:12.577518800
BRU00004227,Toothbrush 4000,2021-10-08 12:32:51.337878400,40,2,E3%203XN,CW12 3NL,1,Dispatched,2021-10-08 19:45:04.035316000,Delivered,2021-10-09 18:51:15.397744000
BRU00000428,Toothbrush 4000,2022-01-15 10:36:13.982441200,31,9,HG3%205PS,CV34 4JA,1,Dispatched,2022-01-15 17:16:03.731136400,Delivered,2022-01-16 15:29:19.742886400
BRU00003263,Toothbrush 2000,2021-02-11 05:31:20.190465200,65,7,B6%207EG,BH8 8JW,1,Dispatched,2021-02-11 12:18:25.275636800,Delivered,2021-02-12 12:19:09.932830400
BRU00004096,Toothbrush 2000,2022-11-20 07:43:00.010695600,89,6,DG2%208DR,CH7 5PA,1,Dispatched,2022-11-20 13:52:25.317302400,Delivered,2022-11-21 21:26:14.907709200
BRU00004582,Toothbrush 2000,2021-07-11 12:56:19.573535200,70,8,B27%207TA,G61 2PD,1,Dispatched,2021-07-11 19:36:45.887178400,Delivered,2021-07-13 06:23:50.784502000
BRU00002666,Toothbrush 2000,2022-07-05 21:18:45.620820000,66,9,DE73%206PL,BH4 8EL,1,Dispatched,2022-07-06 04:22:16.044927600,Delivered,2022-07-07 05:36:18.982897200
BRU00002134,Toothbrush 4000,2022-11-21 20:33:22.447527600,15,7,DL16%207PN,BD6 1UN,1,Dispatched,2022-11-22 04:02:58.505655600,Delivered,2022-11-23 02:18:57.793404000
BRU00003197,Toothbrush 4000,2022-01-11 10:31:54.556303200,25,8,CO10%207RA,BH23 3LZ,1,Dispatched,2022-01-11 17:27:49.622314800,Delivered,2022-01-13 01:31:45.057328799
BRU00004540,Toothbrush 2000,2021-04-14 18:17:28.260510800,74,2,DD1%204HN,AB21 1AY,1,Dispatched,2021-04-15 01:02:41.476877600,Delivered,2021-04-16 08:20:31.601084000
BRU00002611,Toothbrush 4000,2021-09-01 01:31:55.263630400,24,2,BH23%202PQ,BS14 0QP,1,Dispatched,2021-09-01 08:13:50.153639200,Delivered,2021-09-02 13:56:58.986168400
BRU00003609,Toothbrush 4000,2022-07-07 07:23:05.561044000,37,8,DL8%201SA,HA9 9LG,1,Dispatched,2022-07-07 14:17:36.360257200,Delivered,2022-07-08 15:55:43.944692800
BRU00005149,Toothbrush 2000,2021-10-30 09:23:13.747134800,59,9,E14%205AR,HP18 9NB,1,Dispatched,2021-10-30 15:30:19.121093600,Delivered,2021-10-31 14:55:49.673114000
BRU00000167,Toothbrush 4000,2021-09-18 16:18:30.964546000,35,3,G2%204HZ,IG3 8NE,1,Dispatched,2021-09-18 23:10:58.535003200,Delivered,2021-09-19 16:06:50.686951600
BRU00000926,Toothbrush 2000,2022-05-01 23:02:24.357132800,66,3,B79%207AP,CO5 9BN,1,Dispatched,2022-05-02 06:22:22.277908400,Delivered,2022-05-03 14:55:13.179531200
BRU00000777,Toothbrush 4000,2022-06-04 06:23:34.488670000,17,9,CB9%207JP,BS16 6FQ,1,Dispatched,2022-06-04 12:47:20.287807600,Delivered,2022-06-05 20:32:26.247236800
BRU00002752,Toothbrush 4000,2022-08-26 21:30:58.068434400,27,1,BB3%201HL,BD22 0NG,1,Dispatched,2022-08-27 04:51:25.014343200,Delivered,2022-08-28 05:28:09.734616000
BRU00000326,Toothbrush 4000,2021-11-16 03:41:18.548940800,25,1,GL2%200SY,G33 1PW,1,Dispatched,2021-11-16 10:20:52.105242800,Delivered,2021-11-17 15:01:23.120496800
BRU00000437,Toothbrush 4000,2021-06-06 09:09:06.936089600,29,7,AB56%204QR,DY4 0LW,1,Dispatched,2021-06-06 15:57:36.687447200,Delivered,2021-06-07 19:15:50.953116799
BRU00000017,Toothbrush 4000,2021-02-04 20:24:49.296744800,28,3,BR6%206EQ,E4 6EP,1,Dispatched,2021-02-05 03:24:23.750345600,Delivered,2021-02-06 07:22:55.396258400
BRU00001657,Toothbrush 2000,2021-04-27 22:14:22.722853600,57,2,CT5%201LT,DN16 3NG,1,Dispatched,2021-04-28 05:01:44.377360000,Delivered,2021-04-29 11:19:24.440552800
BRU00000791,Toothbrush 4000,2022-11-30 16:19:26.938060800,29,4,B93%200FF,DG9 8RG,1,Dispatched,2022-12-01 00:37:19.266604799,Delivered,2022-12-01 19:59:56.901286799
BRU00005614,Toothbrush 4000,2021-12-07 02:46:44.502578400,32,5,E6%206EB,CW2 8PF,1,Dispatched,2021-12-07 10:44:55.203414000,Delivered,2021-12-08 15:29:33.144248400
BRU00000383,Toothbrush 2000,2022-10-10 19:48:05.260103200,71,6,CT6%206UH,EH8 9PU,1,Dispatched,2022-10-11 03:01:46.564722400,Delivered,2022-10-12 04:20:31.570082800
BRU00000662,Toothbrush 4000,2021-05-27 23:01:48.960201200,19,1,E2%209DJ,CB4 1LA,1,Dispatched,2021-05-28 06:35:04.636530799,Delivered,2021-05-29 07:01:54.065116399
